City,latitude,longitude,Temperature,Humidity,Wind Speed,Cloudiness
chicama,-7.818650868131385,-79.47376946170262,62.6,82.0,9.17,90.0
kilindoni,-7.500256787347226,40.28944257793236,74.72,100.0,8.41,0.0
pringsewu,-7.364567929908887,102.69152319197377,71.03,89.0,1.7,0.0
ferrenafe,-6.621733960234224,-79.61321118139067,62.6,82.0,18.34,0.0
ialibu,-6.269611279194322,143.92132771324805,68.0,72.0,6.93,40.0
panguna,-6.142430105501262,154.49441541119813,80.12,78.0,4.72,12.0
mitsamiouli,-6.133970487003097,47.37518586947934,69.8,83.0,6.93,20.0
tshikapa,-6.042026155668381,20.55368429155493,69.95,84.0,1.99,0.0
victoria,-5.748060780697855,63.76161463743847,80.6,83.0,2.24,75.0
yurimaguas,-5.640911441655433,-76.32929168949369,77.06,84.0,2.48,24.0
kasongo-lunda,-5.4960748105949335,17.236921575727052,66.89,85.0,3.22,0.0
bulungu,-5.15508557444231,17.730121376223792,69.5,80.0,3.83,0.0
buala,-4.589831505047286,160.86437194393164,81.65,87.0,6.4,0.0
axim,-4.534137856260074,-3.4302384575076417,76.88,98.0,14.29,88.0
mweka,-4.404393604683406,21.62550141967907,73.64,86.0,2.26,8.0
tabatinga,-4.3721607246862675,-69.34049578445783,64.4,88.0,2.24,0.0
auki,-4.366744308973139,164.34811613389775,74.45,90.0,5.28,48.0
magugu,-4.113479785109831,36.02714132291143,52.22,93.0,3.11,0.0
kavieng,-3.8847360329750984,150.52804618248342,82.82,100.0,6.73,44.0
carauari,-3.81617904589163,-66.39297877831409,79.67,84.0,1.77,12.0
iquitos,-3.804931011890261,-72.28572667602984,75.2,94.0,2.48,40.0
faanui,-3.362600473092897,-158.42891311638036,80.39,99.0,20.89,24.0
vanimo,-2.955544425999591,140.50974780812987,79.4,100.0,11.1,80.0
mogadishu,-2.38834188530312,49.09987520360886,75.98,100.0,20.22,20.0
padang,-2.286803237801962,97.00163123833198,78.14,100.0,1.36,36.0
meulaboh,-1.5148654225037887,91.52289243802869,76.16,100.0,4.23,76.0
