,Sentiment Points,BBC Compound Sentiment,BBC Positive Sentiment,BBC Negative Sentiment,BBC Neutral Sentiment,CBS Compound Sentiment,CBS Positive Sentiment,CBS Negative Sentiment,CBS Neutral Sentiment,CNN Compound Sentiment,CNN Positive Sentiment,CNN Negative Sentiment,CNN Neutral Sentiment,Fox Compound Sentiment,Fox Positive Sentiment,Fox Negative Sentiment,Fox Neutral Sentiment,@nytimes Compound Sentiment,@nytimes Positive Sentiment,@nytimes Negative Sentiment,@nytimes Neutral Sentiment
43,43,-0.4215,0.0,0.135,0.865,0.0,0.0,0.0,1.0,-0.4767,0.0,0.22,0.78,-0.0516,0.412,0.441,0.147,0.4404,0.132,0.0,0.868
44,44,0.5106,0.171,0.0,0.829,0.0,0.0,0.0,1.0,0.4588,0.158,0.0,0.842,0.5707,0.48,0.0,0.52,0.2732,0.104,0.0,0.896
45,45,0.5697,0.383,0.184,0.433,0.0,0.0,0.0,1.0,-0.34,0.0,0.124,0.876,0.4404,0.592,0.0,0.408,-0.3818,0.085,0.176,0.739
46,46,0.0,0.0,0.0,1.0,-0.0018,0.073,0.074,0.853,0.0,0.0,0.0,1.0,0.4738,0.507,0.0,0.493,0.0,0.0,0.0,1.0
47,47,0.5719,0.252,0.0,0.748,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0258,0.061,0.0,0.939
48,48,0.0,0.0,0.0,1.0,-0.0602,0.182,0.219,0.599,0.0,0.0,0.0,1.0,0.8718,0.712,0.0,0.288,0.4588,0.13,0.0,0.87
49,49,0.34,0.255,0.0,0.745,0.1761,0.16,0.105,0.735,0.4019,0.195,0.094,0.712,0.3612,0.455,0.0,0.545,-0.3182,0.0,0.103,0.897
50,50,-0.4588,0.0,0.364,0.636,0.1027,0.123,0.11,0.767,0.3182,0.119,0.0,0.881,0.4926,0.615,0.0,0.385,-0.2263,0.0,0.112,0.888
51,51,0.34,0.13,0.0,0.87,0.0498,0.13,0.123,0.746,0.7964,0.323,0.0,0.677,0.2942,0.297,0.17,0.532,0.0,0.0,0.0,1.0
52,52,0.2263,0.091,0.0,0.909,0.6114,0.182,0.0,0.818,0.0,0.0,0.0,1.0,-0.2075,0.072,0.155,0.773,0.0,0.0,0.0,1.0
53,53,0.0,0.0,0.0,1.0,0.2263,0.083,0.0,0.917,0.4019,0.13,0.0,0.87,0.4404,0.592,0.0,0.408,-0.2144,0.0,0.078,0.922
